,name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
1271,experiments_011019_hyp_testing_full_pws_0.2_moc_12_71,70,0.3674020538,0.0001,7,2,10,1,10,6.910852944,40,0,16,3,20,0.6536039125,12,1,14,1,0.0008130622,190,10,22.0053351402,0.2,75,12.8676406837,25,2.6332390697,25,4500,10,20
1272,experiments_011019_hyp_testing_full_pws_0.2_moc_12_72,70,0.3088107765,0.0001,7,2,10,1,10,3.5300961391000003,40,0,16,3,20,0.420102966,12,1,8,1,0.0009485272,190,10,26.9611504463,0.2,75,13.8970361769,25,1.595693436,25,4500,10,20
1273,experiments_011019_hyp_testing_full_pws_0.2_moc_12_73,70,0.25089233510000003,0.0001,7,2,10,1,10,6.687676644500001,40,0,16,3,20,0.6442766417,12,1,15,1,0.0012494877,190,10,21.536725865700003,0.2,75,14.3528761203,25,3.9433095420999997,25,4500,10,20
1274,experiments_011019_hyp_testing_full_pws_0.2_moc_12_74,70,0.3911473782,0.0001,7,2,10,1,10,4.557156173,40,0,16,3,20,0.6214087990999999,12,1,11,1,0.0021070717,190,10,23.188506812800004,0.2,75,14.801104817899999,25,3.8860612469999998,25,4500,10,20
1275,experiments_011019_hyp_testing_full_pws_0.2_moc_12_75,70,0.2612537559,0.0001,7,2,10,1,10,3.8032212979000004,40,0,16,3,20,0.7866188990999999,12,1,14,1,0.0015527525,190,10,22.4770399569,0.2,75,18.3910781203,25,6.8578086788,25,4500,10,20
1276,experiments_011019_hyp_testing_full_pws_0.2_moc_12_76,70,0.3326413599,0.0001,7,2,10,1,10,5.1208657246,40,0,16,3,20,0.222985689,12,1,12,1,0.0006381163,190,10,20.7243869606,0.2,75,18.9418739069,25,3.4804271651999996,25,4500,10,20
1277,experiments_011019_hyp_testing_full_pws_0.2_moc_12_77,70,0.36036887590000005,0.0001,7,2,10,1,10,4.7961882888,40,0,16,3,20,0.6340759269,12,1,12,1,0.0020588469,190,10,24.923378411999998,0.2,75,20.6812705354,25,1.4680205583000001,25,4500,10,20
1278,experiments_011019_hyp_testing_full_pws_0.2_moc_12_78,70,0.47268233200000004,0.0001,7,2,10,1,10,6.0856992348,40,0,16,3,20,0.2092773302,12,1,13,1,0.0013786082,190,10,15.0474052489,0.2,75,10.0425378336,25,8.7548832553,25,4500,10,20
1279,experiments_011019_hyp_testing_full_pws_0.2_moc_12_79,70,0.24839865809999997,0.0001,7,2,10,1,10,5.238560725899999,40,0,16,3,20,0.4174865933,12,1,13,1,0.000629064,190,10,23.2398773473,0.2,75,17.6384764614,25,4.0833502741,25,4500,10,20
1280,experiments_011019_hyp_testing_full_pws_0.2_moc_12_80,70,0.2608542456,0.0001,7,2,10,1,10,5.2329630126,40,0,16,3,20,0.6093576317,12,1,15,1,0.0012246515,190,10,18.9391038452,0.2,75,11.4308959306,25,2.616070933,25,4500,10,20
